Imagen,Centro_X,Centro_Y,Radio,Fitness
../imgs/C03.bmp,174.23,85.15,23.08,91.0
../imgs/C03.bmp,174.3,85.18,23.33,91.0
../imgs/C03.bmp,174.15,85.34,23.39,91.0
../imgs/C03.bmp,174.0,85.0,23.02,91.0
../imgs/C03.bmp,174.0,85.0,23.32,91.0
../imgs/C03.bmp,174.01,85.01,23.01,91.0
../imgs/C03.bmp,174.03,85.33,23.01,91.0
../imgs/C03.bmp,174.18,85.14,23.03,91.0
../imgs/C03.bmp,174.17,85.02,23.2,91.0
../imgs/C03.bmp,174.16,85.01,23.32,91.0
../imgs/C03.bmp,174.74,85.0,23.16,91.0
../imgs/C03.bmp,174.29,85.56,23.56,91.0
../imgs/C03.bmp,174.5,85.5,23.51,91.0
../imgs/C03.bmp,174.3,85.11,23.41,91.0
../imgs/C03.bmp,174.16,85.52,23.73,91.0
../imgs/C03.bmp,174.71,85.14,23.45,91.0
../imgs/C03.bmp,174.03,85.5,23.04,91.0
../imgs/C03.bmp,174.11,85.1,23.46,91.0
../imgs/C03.bmp,174.42,85.63,23.66,91.0
../imgs/C03.bmp,174.02,85.05,23.37,91.0
../imgs/C03.bmp,174.49,85.54,23.54,91.0
../imgs/C03.bmp,174.4,85.02,23.03,91.0
../imgs/C03.bmp,174.77,85.15,23.08,91.0
../imgs/C03.bmp,174.87,85.13,23.25,91.0
../imgs/C03.bmp,174.05,85.29,23.06,91.0
../imgs/C03.bmp,174.04,85.41,23.09,91.0
../imgs/C03.bmp,174.0,85.0,23.09,91.0
../imgs/C03.bmp,174.43,85.0,23.05,91.0
../imgs/C03.bmp,174.02,85.5,23.03,91.0
../imgs/C03.bmp,174.32,85.21,23.32,91.0
../imgs/C03.bmp,174.49,85.41,23.44,91.0
../imgs/C03.bmp,174.0,85.09,23.12,91.0
../imgs/C03.bmp,174.09,85.36,23.1,91.0
../imgs/C03.bmp,174.36,85.37,23.33,91.0
../imgs/C03.bmp,174.08,85.16,23.4,91.0
../imgs/C03.bmp,174.52,85.05,23.19,91.0
../imgs/C03.bmp,174.0,85.0,23.02,91.0
../imgs/C03.bmp,174.06,85.0,23.39,91.0
../imgs/C03.bmp,174.07,85.79,23.24,91.0
../imgs/C03.bmp,174.4,85.05,23.6,91.0
../imgs/C03.bmp,174.42,85.06,23.21,91.0
../imgs/C03.bmp,174.03,85.19,23.0,91.0
../imgs/C03.bmp,174.08,85.18,23.13,91.0
../imgs/C03.bmp,174.5,85.5,23.51,91.0
../imgs/C03.bmp,174.1,85.27,23.09,91.0
../imgs/C03.bmp,174.41,85.51,23.45,91.0
../imgs/C03.bmp,174.2,85.4,23.61,91.0
