Imagen,POB,GEN,PC,PM,SEL,CRUZA,Fit_avg,Fit_sd
C01,100,500,0.9,0.05,2,1,106,0.0
C01,100,500,0.9,0.05,1,1,106,0.0
C01,100,500,0.9,0.05,3,1,106,0.0
C01,50,500,0.9,0.05,2,1,106,0.0
C01,200,500,0.9,0.05,2,1,106,0.0
C01,100,500,0.9,0.01,2,1,106,0.0
C01,100,500,0.9,0.1,2,1,106,0.0
C01,100,500,0.8,0.05,2,1,106,0.0
C01,100,500,0.9,0.05,2,2,106,0.0
C03,100,500,0.9,0.05,2,1,91,0.0
C03,100,500,0.9,0.05,1,1,91,0.0
C03,100,500,0.9,0.05,3,1,91,0.0
C03,50,500,0.9,0.05,2,1,87,13.2
C03,200,500,0.9,0.05,2,1,91,0.0
C03,100,500,0.9,0.01,2,1,64,22.3
C03,100,500,0.9,0.1,2,1,91,0.0
C03,100,500,0.8,0.05,2,1,91,0.0
C03,100,500,0.9,0.05,2,2,91,0.0
C05,100,500,0.9,0.05,2,1,116,0.4
C05,100,500,0.9,0.05,1,1,116,0.0
C05,100,500,0.9,0.05,3,1,116,0.5
C05,50,500,0.9,0.05,2,1,116,0.5
C05,200,500,0.9,0.05,2,1,116,0.0
C05,100,500,0.9,0.01,2,1,89,26.7
C05,100,500,0.9,0.1,2,1,116,0.4
C05,100,500,0.8,0.05,2,1,116,0.3
C05,100,500,0.9,0.05,2,2,116,0.5
auto,100,500,0.9,0.05,2,1,179,8.9
auto,100,500,0.9,0.05,1,1,189,0.0
auto,100,500,0.9,0.05,3,1,184,8.1
auto,50,500,0.9,0.05,2,1,173,32.9
auto,200,500,0.9,0.05,2,1,177,12.4
auto,100,500,0.9,0.01,2,1,81,40.5
auto,100,500,0.9,0.1,2,1,180,9.5
auto,100,500,0.8,0.05,2,1,184,9.5
auto,100,500,0.9,0.05,2,2,185,8.1
lamp,100,500,0.9,0.05,2,1,117,28.6
lamp,100,500,0.9,0.05,1,1,99,3.2
lamp,100,500,0.9,0.05,3,1,116,31.9
lamp,50,500,0.9,0.05,2,1,122,30.8
lamp,200,500,0.9,0.05,2,1,135,29.3
lamp,100,500,0.9,0.01,2,1,95,2.1
lamp,100,500,0.9,0.1,2,1,138,29.6
lamp,100,500,0.8,0.05,2,1,116,32.1
lamp,100,500,0.9,0.05,2,2,138,31.7
1uno,100,500,0.9,0.05,2,1,205,0.0
1uno,100,500,0.9,0.05,1,1,205,0.0
1uno,100,500,0.9,0.05,3,1,204,1.8
1uno,50,500,0.9,0.05,2,1,204,1.6
1uno,200,500,0.9,0.05,2,1,204,1.8
1uno,100,500,0.9,0.01,2,1,181,13.8
1uno,100,500,0.9,0.1,2,1,204,1.8
1uno,100,500,0.8,0.05,2,1,205,0.0
1uno,100,500,0.9,0.05,2,2,204,2.0
