POB,PM,PC,GEN,SEL,Avg_Fit
50,0.01,0.5,100,1,184.0
50,0.01,0.5,100,2,187.0
50,0.01,0.5,200,1,184.0
50,0.01,0.5,200,2,187.0
50,0.01,0.5,500,1,187.0
50,0.01,0.5,500,2,187.0
50,0.01,0.5,1000,1,187.0
50,0.01,0.5,1000,2,187.0
50,0.01,0.7,100,1,187.0
50,0.01,0.7,100,2,187.0
50,0.01,0.7,200,1,187.0
50,0.01,0.7,200,2,187.0
50,0.01,0.7,500,1,187.0
50,0.01,0.7,500,2,187.0
50,0.01,0.7,1000,1,187.0
50,0.01,0.7,1000,2,172.8
50,0.01,0.9,100,1,116.0
50,0.01,0.9,100,2,83.0
50,0.01,0.9,200,1,116.0
50,0.01,0.9,200,2,83.0
50,0.01,0.9,500,1,130.2
50,0.01,0.9,500,2,187.0
50,0.01,0.9,1000,1,187.0
50,0.01,0.9,1000,2,187.0
50,0.05,0.5,100,1,187.0
50,0.05,0.5,100,2,187.0
50,0.05,0.5,200,1,187.0
50,0.05,0.5,200,2,187.0
50,0.05,0.5,500,1,187.0
50,0.05,0.5,500,2,187.0
50,0.05,0.5,1000,1,187.0
50,0.05,0.5,1000,2,187.0
50,0.05,0.7,100,1,187.0
50,0.05,0.7,100,2,187.0
50,0.05,0.7,200,1,187.0
50,0.05,0.7,200,2,187.0
50,0.05,0.7,500,1,187.0
50,0.05,0.7,500,2,187.0
50,0.05,0.7,1000,1,187.0
50,0.05,0.7,1000,2,187.0
50,0.05,0.9,100,1,187.0
50,0.05,0.9,100,2,187.0
50,0.05,0.9,200,1,187.0
50,0.05,0.9,200,2,187.0
50,0.05,0.9,500,1,187.0
50,0.05,0.9,500,2,187.0
50,0.05,0.9,1000,1,187.0
50,0.05,0.9,1000,2,187.0
50,0.1,0.5,100,1,187.0
50,0.1,0.5,100,2,187.0
50,0.1,0.5,200,1,187.0
50,0.1,0.5,200,2,187.0
50,0.1,0.5,500,1,187.0
50,0.1,0.5,500,2,187.0
50,0.1,0.5,1000,1,187.0
50,0.1,0.5,1000,2,187.0
50,0.1,0.7,100,1,187.0
